Category,Metric/Item,Value,Unit/Context,Source Citation
[cite_start]AI Market Disruption Index,Technology,4.0,Score (0-5) - High Disruption,[cite: 66, 89]
[cite_start]AI Market Disruption Index,Media & Telecom,1.5,Score (0-5) - Moderate Disruption,[cite: 77, 78]
[cite_start]AI Market Disruption Index,Professional Services,1.2,Score (0-5) - Low Disruption,[cite: 76, 108]
[cite_start]AI Market Disruption Index,Consumer & Retail,0.5,Score (0-5) - Minimal Disruption,[cite: 72, 73]
[cite_start]AI Market Disruption Index,Financial Services,0.5,Score (0-5) - Minimal Disruption,[cite: 70, 71]
[cite_start]AI Market Disruption Index,Healthcare & Pharma,0.5,Score (0-5) - Minimal Disruption,[cite: 74, 75]
[cite_start]AI Market Disruption Index,Advanced Industries,0.5,Score (0-5) - Minimal Disruption,[cite: 68, 69]
[cite_start]AI Market Disruption Index,Energy & Materials,0.1,Score (0-5) - Minimal Disruption,[cite: 67]
[cite_start]Pilot-to-Production Funnel (General Purpose LLMs),Investigated,80,Percentage,[cite: 122]
[cite_start]Pilot-to-Production Funnel (General Purpose LLMs),Piloted,50,Percentage,[cite: 124]
[cite_start]Pilot-to-Production Funnel (General Purpose LLMs),Successfully Implemented,40,Percentage,[cite: 125]
[cite_start]Pilot-to-Production Funnel (Task-Specific GenAI),Investigated,60,Percentage,[cite: 123]
[cite_start]Pilot-to-Production Funnel (Task-Specific GenAI),Piloted,20,Percentage,[cite: 126]
[cite_start]Pilot-to-Production Funnel (Task-Specific GenAI),Successfully Implemented,5,Percentage,[cite: 127]
[cite_start]Barriers to Scaling AI (Frequency),Unwillingness to adopt new tools,9.0,Frequency Score (0-10),[cite: 211, 221]
[cite_start]Barriers to Scaling AI (Frequency),Model output quality concerns,7.5,Frequency Score (0-10),[cite: 210]
[cite_start]Barriers to Scaling AI (Frequency),Poor user experience,7.0,Frequency Score (0-10),[cite: 209]
[cite_start]Barriers to Scaling AI (Frequency),Lack of executive sponsorship,6.5,Frequency Score (0-10),[cite: 208]
[cite_start]Barriers to Scaling AI (Frequency),Challenging change management,6.5,Frequency Score (0-10),[cite: 207]
[cite_start]User Preference (Generic vs Integrated),The answers are better (Generic),85,Percentage of users agreeing,[cite: 239, 248]
[cite_start]User Preference (Generic vs Integrated),Already familiar with interface (Generic),72,Percentage of users agreeing,[cite: 238]
[cite_start]User Preference (Generic vs Integrated),Trust it more (Generic),64,Percentage of users agreeing,[cite: 237]
[cite_start]Barriers to Core Workflow Integration,It doesn't learn from our feedback,66,Percentage,[cite: 265, 273]
[cite_start]Barriers to Core Workflow Integration,Too much manual context required each time,63,Percentage,[cite: 264]
[cite_start]Barriers to Core Workflow Integration,Can't customize it to our specific workflows,58,Percentage,[cite: 263]
[cite_start]Barriers to Core Workflow Integration,Breaks in edge cases and doesn't adapt,52,Percentage,[cite: 262]
[cite_start]Task Preference (High Stakes),Complex projects (Multi-week work),10,Percentage preferring AI,[cite: 281, 283]
[cite_start]Task Preference (High Stakes),Complex projects (Multi-week work),90,Percentage preferring Humans,[cite: 281, 284]
[cite_start]Task Preference (High Stakes),Quick tasks (Emails/Summaries),70,Percentage preferring AI,[cite: 285, 286]
[cite_start]Task Preference (High Stakes),Quick tasks (Emails/Summaries),30,Percentage preferring Humans,[cite: 285, 287]
[cite_start]Vendor Selection Criteria,A vendor we trust,90,Percentage citing importance,[cite: 320, 327]
[cite_start]Vendor Selection Criteria,Deep understanding of our workflow,75,Percentage citing importance,[cite: 319]
[cite_start]Vendor Selection Criteria,Minimal disruption to current tools,68,Percentage citing importance,[cite: 318]
[cite_start]Vendor Selection Criteria,Clear data boundaries,65,Percentage citing importance,[cite: 317]
[cite_start]Vendor Selection Criteria,The ability to improve over time,60,Percentage citing importance,[cite: 316]
[cite_start]Vendor Selection Criteria,Flexibility when things change,50,Percentage citing importance,[cite: 315]
[cite_start]Deployment Success Rates,Strategic Partnerships (Buy),66,Percentage of deployments,[cite: 397]
[cite_start]Deployment Success Rates,Internal Development (Build),33,Percentage of deployments,[cite: 397]
[cite_start]Shadow AI Economy,Companies with Official LLM Subscription,40,Percentage,[cite: 163]
[cite_start]Shadow AI Economy,Employees using LLMs regularly,90,Percentage,[cite: 164]
[cite_start]Investment Allocation,Sales & Marketing,70,Percentage of AI Budget,[cite: 175]
[cite_start]Operational Impact (Back-Office),Lead qualification speed,40,Percentage Improvement,[cite: 429]
[cite_start]Operational Impact (Back-Office),Agency spend reduction,30,Percentage Decrease,[cite: 433]
[cite_start]Operational Impact (Back-Office),Customer retention,10,Percentage Improvement,[cite: 430]
